Rank,Team,Player,FGP,P3P,FTP,Minutes,Points,Rebounds,Assists,WS,WS/48,BPM,VORP,Position,Class Year,Year,School,Conf,G,GS,MP,FG,FGA,FG.PG,P2M,P2MA,P2.PG,P3M,P3MA,P3.PG,FT,FTA,FT.PG,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,SOS,Year.1,School.1,Conf.1,G.1,GS.1,MP.1,FG.1,FGA.1,FG.PG1,P2M.1,P2MA.1,P2.PG1,P3M.1,P3MA.1,P3.PG1,FT.1,FTA.1,FT.PG1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,PTS.1,,SOS.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,WAS,Henry Walker,0.446,0.369,0.76,16.7,6,2.2,0.8,5,0.079,-1.3,0.5,SG,Sophomore,2007-08,Kansas State,Big 12,31,28,27.3,5.8,12.5,0.465,4.7,8.9,0.531,1.1,3.7,0.307,3.3,4.4,0.737,2.5,3.8,6.3,1.9,0.9,0.5,2.6,3.3,16.1,,7.79,2006-07,Kansas State,Big 12,6,5,23.2,4.3,10.8,0.4,4.3,9.3,0.464,0,1.5,0,2.7,4,0.667,1.3,3.2,4.5,0.8,0.7,0,1.8,2.8,11.3,,5.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PHO,Malik Hairston,0.512,0.167,0.514,7.6,2.4,1.2,0.5,0.8,0.086,-1.9,0,SG,Senior,2007-08,Oregon,Pac-10,31,31,31.5,5.7,10.8,0.525,4,6.9,0.577,1.7,3.9,0.433,3.3,4.5,0.732,1.5,3.4,4.8,2.1,0.6,0.8,1.8,2.9,16.3,,7.65,2006-07,Oregon,Pac-10,86,84,31.1,5.1,10.2,0.5,4.0,7.4,0.5,1.1,2.9,0.4,2.1,3.4,0.6,2.2,3.0,5.2,2.1,0.6,0.5,2.0,2.4,13.2,,6.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,GSW,Richard Hendrix,,,,,,,,,,,,PF,Junior,2007-08,Alabama,SEC,32,32,30.6,7.2,12,0.598,7.1,11.8,0.604,0.1,0.2,0.286,3.4,6.3,0.537,3.7,6.4,10.1,1.6,1.3,1.9,1.7,2.9,17.8,,5.7,2006-07,Alabama,SEC,66,57,26.8,4.6,8.4,0.5,4.3,7.4,0.6,0.3,0.9,0.3,3.1,4.4,0.7,2.0,3.6,5.6,1.3,1.0,1.0,1.9,2.4,12.6,,5.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,SEA,DeVon Hardin,,,,,,,,,,,,C,Senior,2007-08,California,Pac-10,30,26,23.8,3.3,5.9,0.554,3.3,5.9,0.554,0,0,,2.8,4.4,0.636,1.8,5.6,7.4,0.7,0.6,1.2,1.4,2.5,9.3,,8.45,2006-07,California,Pac-10,71,52,21.3,2.5,5.1,0.5,2.5,5.1,0.5,0.0,0.0,0.0,1.6,2.6,0.6,1.9,4.2,6.0,0.3,0.4,1.3,1.0,2.8,6.6,,7.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,DAL,Shan Foster,,,,,,,,,,,,SG,Senior,2007-08,Vanderbilt,SEC,34,34,33.7,7.1,13.6,0.523,3.2,5.2,0.61,3.9,8.4,0.469,2.1,2.8,0.76,1.1,3.8,4.9,1.6,1.1,0.2,1.7,1.9,20.3,,5.54,2006-07,Vanderbilt,SEC,98,88,29.0,4.7,10.4,0.4,2.3,4.4,0.5,2.4,6.0,0.4,1.8,2.2,0.8,1.0,2.6,3.6,1.7,0.8,0.3,1.5,1.5,13.5,,7.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,MIA,Darnell Jackson,0.449,0.235,0.644,7.5,2.2,1.5,0.2,1.3,0.059,-4.9,-0.7,PF,Senior,2007-08,Kansas,Big 12,40,35,24.3,4.3,6.8,0.626,4.2,6.7,0.633,0.1,0.2,0.333,2.6,3.7,0.691,2,4.7,6.7,1.1,0.8,0.5,1.3,2.3,11.2,,8.2,2006-07,Kansas,Big 12,85,4,13.0,1.7,3.1,0.5,1.7,3.1,0.5,0.0,0.0,0.0,1.4,2.1,0.7,1.6,2.5,4.1,0.2,0.4,0.3,0.9,1.5,4.7,,8.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,UTA,Tadija Dragićević,,,,,,,,,,,,PF,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,HOU,Maarty Leunen,,,,,,,,,,,,PF,Senior,2007-08,Oregon,Pac-10,32,32,34.7,4.9,8.8,0.559,3.1,5,0.609,1.8,3.8,0.492,3.5,4.4,0.789,2.2,7,9.2,2.8,0.9,0.3,1.6,2.4,15.2,,7.65,2006-07,Oregon,Pac-10,95,59,25.6,2.7,5.8,0.5,2.0,3.6,0.6,0.7,2.2,0.3,1.9,2.5,0.8,1.7,4.7,6.4,1.4,1.0,0.4,1.2,1.8,8.1,,6.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,POR,Mike Taylor,0.412,0.325,0.691,15.1,5.7,1.7,2.1,-0.4,-0.028,-5.5,-0.7,PG,Sophomore,2006-07,Iowa State,Big 12,31,30,35,5.3,14.2,0.376,2.8,7.3,0.391,2.5,6.9,0.36,2.8,4.2,0.682,0.7,3.4,4.1,4.5,1.1,0.1,5.4,2.9,16,,5.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,SEA,Sasha Kaun,0.529,,0.455,3.8,0.9,1,0.1,0.2,0.096,-0.8,0,C,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,SAS,James Gist,,,,,,,,,,,,PF,Senior,2007-08,Maryland,ACC,33,33,32,5.9,11.8,0.496,5.2,9.7,0.538,0.7,2.2,0.31,3.5,4.7,0.737,1.8,6.1,7.9,1.4,1.3,2.3,2.7,3.1,15.9,,7.28,2006-07,Maryland,ACC,97,56,22.5,3.5,6.9,0.5,3.4,6.7,0.5,0.1,0.2,0.5,2.0,3.0,0.7,1.8,3.6,5.4,1.0,0.8,1.6,1.5,2.2,9.2,,7.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,LAL,Joe Crawford,0.3,0.25,1,11.5,4.5,2,0.5,0,0.037,-5.6,0,SF,Senior,2007-08,Kentucky,SEC,30,22,33.6,6.3,13.4,0.469,4.2,7.6,0.548,2.1,5.8,0.364,3.3,4.3,0.762,1,2.6,3.6,2.1,0.6,0.2,2.8,2.7,17.9,,7.09,2006-07,Kentucky,SEC,97,54,22.8,3.3,7.9,0.4,2.1,4.2,0.5,1.3,3.7,0.3,1.3,2.0,0.7,1.2,2.1,3.3,1.3,0.4,0.2,1.2,1.6,9.3,,9.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,DET,Deron Washington,,,,,,,,,,,,SF,Senior,2007-08,Virginia Tech,ACC,35,35,33.1,4.2,10.1,0.416,3.7,8.2,0.451,0.5,1.9,0.269,4.2,6.3,0.671,2,4.5,6.5,2.3,1,0.6,2.1,2.9,13.1,,6.54,2006-07,Virginia Tech,ACC,93,90,27.8,3.8,7.7,0.5,3.5,6.7,0.5,0.3,1.0,0.3,2.2,3.8,0.6,1.9,3.1,5.0,1.2,1.3,1.0,1.6,3.2,10.2,,6.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,BOS,Semih Erden,0.546,,0.594,13.4,3.8,2.8,0.4,1.8,0.094,-2,0,C,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,POR,Greg Oden,0.574,,0.658,19.3,8,6.2,0.5,7.3,0.174,1.1,1.6,C,Freshman,2006-07,Ohio State,Big Ten,32,31,28.9,5.9,9.6,0.616,5.9,9.6,0.616,0,0,,3.8,6.1,0.628,3.5,6,9.6,0.7,0.6,3.3,2,2.7,15.7,,9.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SEA,Kevin Durant,0.493,0.381,0.883,36.9,27,7.1,4.1,141.7,0.217,5.1,55.7,SF,Freshman,2006-07,Texas,Big 12,35,35,35.9,8.7,18.5,0.473,6.4,12.7,0.505,2.3,5.8,0.404,6,7.3,0.816,3,8.1,11.1,1.3,1.9,1.9,2.8,2,25.8,,6.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ATL,Al Horford,0.523,0.365,0.752,32.7,14,8.3,3.3,88.9,0.159,3.2,35.4,C,Junior,2006-07,Florida,SEC,38,36,27.8,4.9,8.1,0.608,4.9,8,0.612,0,0.1,0,3.4,5.3,0.644,2.5,6.9,9.5,2.2,0.7,1.8,1.8,2.5,13.2,,7.33,2005-06,Florida,SEC,71,64,24.5,3.3,5.9,0.6,3.3,5.9,0.6,0.0,0.1,0.0,2.1,3.4,0.6,2.2,4.9,7.1,1.5,0.9,1.7,1.5,2.5,8.7,,6.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,MEM,Mike Conley,0.439,0.375,0.818,32.5,14.9,3,5.7,72.2,0.132,1.9,25.7,PG,Freshman,2006-07,Ohio State,Big Ten,39,39,31.6,4.1,7.9,0.518,3.6,6.2,0.579,0.5,1.8,0.304,2.6,3.7,0.694,0.7,2.7,3.4,6.1,2.2,0.3,2.2,1.5,11.3,,9.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,BOS,Jeff Green,0.44,0.333,0.805,29.6,13,4.4,1.6,40.9,0.074,-1.4,4.3,SF,Junior,2006-07,Georgetown,Big East,37,37,33.3,5.3,10.3,0.513,4.3,7.7,0.559,1,2.6,0.375,2.7,3.5,0.775,1.7,4.7,6.4,3.2,0.8,1.2,2.6,2.5,14.3,,9.48,2005-06,Georgetown,Big East,65,65,33.1,4.4,9.4,0.5,3.6,7.0,0.5,0.9,2.4,0.4,2.8,4.2,0.7,2.4,4.2,6.5,3.1,0.9,1.3,2.5,2.5,12.5,,6.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,MIL,Yi Jianlian,0.404,0.333,0.78,22.2,7.9,4.9,0.7,3.1,0.025,-4.7,-4.1,PF,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,MIN,Corey Brewer,0.425,0.284,0.713,23,8.7,2.8,1.5,22.5,0.058,-1,4.8,SF,Junior,2006-07,Florida,SEC,37,37,28.5,4.6,9.6,0.475,3.5,6.4,0.544,1.1,3.2,0.336,3,4.2,0.723,1.1,3.6,4.7,2.9,1.9,0.4,2.5,1.9,13.2,,7.33,2005-06,Florida,SEC,71,69,26.6,3.6,7.6,0.5,2.8,5.3,0.5,0.8,2.2,0.4,2.3,3.2,0.7,1.4,2.8,4.2,2.7,1.5,0.4,2.3,2.4,10.4,,6.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,CHA,Brandan Wright,0.607,0,0.674,16.2,7,3.6,0.5,26.2,0.181,1.6,6.4,PF,Freshman,2006-07,UNC,ACC,37,37,27.4,6.2,9.5,0.646,6.2,9.5,0.646,0,0,,2.4,4.2,0.567,2.1,4.1,6.2,1,1,1.8,1.6,1.5,14.7,,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,CHI,Joakim Noah,0.491,0,0.7,27.9,8.8,9.1,2.8,61.8,0.16,4.1,28.4,C,Junior,2006-07,Florida,SEC,40,40,25.9,4.3,7.1,0.607,4.3,7.1,0.606,0,0,1,3.3,5,0.663,2.6,5.9,8.4,2.3,1.1,1.8,2.5,2.3,12,,7.33,2005-06,Florida,SEC,68,38,18.3,3.5,5.7,0.6,3.5,5.6,0.6,0.0,0.0,0.0,2.6,3.8,0.7,1.6,3.5,5.1,1.4,0.7,1.7,1.3,1.9,9.6,,6.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,SAC,Spencer Hawes,0.457,0.35,0.716,22.7,8.7,5.7,1.9,22.6,0.07,-0.7,5,C,Freshman,2006-07,Washington,Pac-10,31,24,28.9,6.2,11.7,0.532,6.2,11.6,0.533,0,0.1,0.333,2.4,3.2,0.755,2,4.4,6.4,1.9,0.5,1.7,2.5,2.3,14.9,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,ATL,Acie Law,0.413,0.235,0.778,12.7,3.9,1,1.6,1.6,0.032,-5.4,-2,PG,Senior,2006-07,Texas A&M,Big 12,34,34,33.9,6.4,12.7,0.5,5.2,10.3,0.51,1.1,2.4,0.458,4.2,5.4,0.778,0.2,3.1,3.3,5,1.1,0,2.6,2.4,18.1,,5.12,2005-06,Texas A&M,Big 12,88,72,29.6,4.4,9.8,0.4,3.6,7.2,0.5,0.8,2.7,0.3,2.3,3.0,0.7,0.5,2.5,3.0,4.3,1.4,0.0,2.4,2.7,12.0,,4.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PHI,Thaddeus Young,0.498,0.329,0.671,30.4,13.2,5.9,1.7,60.3,0.101,0.6,19,PF,Freshman,2006-07,Georgia Tech,ACC,31,31,29.6,5.7,11.9,0.478,4.5,8.9,0.498,1.3,3,0.419,1.7,2.3,0.743,2.3,2.5,4.9,2,1.3,0.4,2.2,2,14.4,,9.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,NOK,Julian Wright,0.499,0.262,0.584,13.2,3.9,2.3,0.8,3.9,0.061,-1.3,0.5,SF,Sophomore,2006-07,Kansas,Big 12,38,37,27.6,5,9.1,0.549,4.9,8.8,0.562,0.1,0.3,0.231,1.9,3.1,0.613,2.5,5.3,7.8,2.2,1.4,1.3,2.4,2.5,12,,6.86,2005-06,Kansas,Big 12,33,15,20.1,3.8,6.7,0.564,3.8,6.6,0.571,0,0.1,0,1,1.9,0.548,1.6,3,4.6,1.8,0.9,1.3,1.9,1.6,8.5,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,LAC,Al Thornton,0.452,0.293,0.747,28,11.9,4.2,1.2,6.1,0.035,-3.5,-3.1,SF,Senior,2006-07,Florida State,ACC,35,35,31.2,7,13.1,0.53,5.9,10.8,0.549,1,2.3,0.444,4.7,6,0.79,3,4.1,7.2,0.7,1.5,1.1,2.5,2.7,19.7,,8.63,2005-06,Florida State,ACC,89,34,18.3,3.4,6.4,0.5,3.1,5.7,0.5,0.3,0.7,0.4,2.3,3.5,0.6,1.7,2.7,4.4,0.7,0.6,0.4,1.4,2.1,9.3,,7.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,DET,Rodney Stuckey,0.423,0.3,0.824,27.5,12.6,2.9,3.6,28.7,0.077,-1.4,2.7,SG,Sophomore,2006-07,Eastern Washington,Big Sky,29,29,33.3,7.8,17.3,0.453,6.3,11.7,0.541,1.5,5.6,0.267,7.4,8.8,0.846,1.2,3.4,4.7,5.5,2.4,0.3,3.4,2.3,24.6,,-2.94,2005-06,Eastern Washington,Big Sky,30,30,33,8.3,17,0.49,6.5,12.1,0.539,1.8,4.9,0.372,5.7,7.5,0.76,1.1,3.7,4.8,4.1,2.2,0.3,3.6,2.5,24.2,,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,WAS,Nick Young,0.418,0.376,0.836,22.8,11.4,2,1,18.6,0.054,-3.4,-5.8,SG,Junior,2006-07,USC,Pac-10,37,36,33.2,6.5,12.3,0.525,5.3,9.6,0.549,1.2,2.7,0.44,3.4,4.3,0.786,1.2,3.4,4.6,1.4,0.7,0.3,2.4,2.5,17.5,,7.87,2005-06,USC,Pac-10,59,54,29.9,5.3,11.6,0.5,4.5,9.0,0.5,0.9,2.7,0.3,2.7,3.6,0.8,2.1,3.3,5.4,1.5,0.9,0.2,2.0,2.6,14.3,,6.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,NJN,Sean Williams,0.511,0,0.624,14.4,4.2,3.4,0.3,3,0.073,-2,0,C,Junior,2006-07,Boston College,ACC,15,15,32.2,4.2,7.7,0.548,4.2,7.7,0.548,0,0,,3.7,5.3,0.7,2.4,4.5,6.9,1.2,1.4,5,2.3,3.2,12.1,,9.21,2005-06,Boston College,ACC,54,0,17.3,1.4,2.3,0.6,1.4,2.3,0.6,0.0,0.0,0.0,0.9,1.7,0.5,1.4,2.1,3.5,0.5,0.4,2.2,0.9,2.5,3.6,,6.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,GSW,Marco Belinelli,0.423,0.375,0.844,22.9,9.8,2.1,1.7,29.6,0.074,-1.8,1.1,SG,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,LAL,Javaris Crittenton,0.442,0.231,0.638,16.4,5.3,2.4,1.8,0.1,0.002,-4.3,-1.1,SG,Freshman,2006-07,Georgia Tech,ACC,32,31,31.3,4.9,11,0.45,3.8,7.8,0.488,1.1,3.2,0.356,3.4,4.3,0.783,0.9,2.8,3.7,5.8,2,0.1,3.9,2.1,14.4,,9.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,MIA,Jason Smith,0.468,0.333,0.783,16.3,6.1,3.4,0.7,14.1,0.067,-2.7,-1.6,C,Junior,2006-07,Colorado State,MWC,30,28,30.2,5.8,10.1,0.579,5.8,10,0.585,0,0.1,0,5.1,6.7,0.77,3.3,6.9,10.1,1.9,0.5,1.6,3.4,3.1,16.8,,3.71,2005-06,Colorado State,MWC,57,42,26.7,4.9,9.3,0.5,4.8,8.9,0.5,0.2,0.4,0.3,3.6,5.0,0.7,2.2,4.5,6.6,2.0,0.5,1.8,2.9,3.3,13.6,,4.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PHI,Daequan Cook,0.369,0.359,0.813,18.3,6.4,2.1,0.7,4.9,0.039,-3.6,-2.4,SG,Freshman,2006-07,Ohio State,Big Ten,39,1,19.7,3.6,8.1,0.445,2.2,4.8,0.465,1.4,3.3,0.415,1.2,1.7,0.697,0.7,3.6,4.3,1,0.7,0.3,1.4,1.7,9.8,,9.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
